,movie,year,imdb,metascore,votes,n_imdb
0,Inception,2010,8.8,74,1799695,88.0
1,Shutter Island,2010,8.1,63,983982,81.0
2,Toy Story 3,2010,8.3,92,667157,83.0
3,Black Swan,2010,8.0,79,638580,80.0
4,Iron Man 2,2010,7.0,57,633681,70.0
5,How to Train Your Dragon,2010,8.1,74,595638,81.0
6,The King's Speech,2010,8.0,88,584869,80.0
7,The Social Network,2010,7.7,95,560871,77.0
8,Kick-Ass,2010,7.6,66,491089,76.0
9,Despicable Me,2010,7.7,72,456440,77.0
10,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,415351,77.0
11,Tangled,2010,7.8,71,358425,78.0
12,Alice in Wonderland,2010,6.5,53,353451,65.0
13,Scott Pilgrim vs. the World,2010,7.5,69,331928,75.0
14,Easy A,2010,7.1,72,324718,71.0
15,127 Hours,2010,7.6,82,319032,76.0
16,The Town,2010,7.6,74,318372,76.0
17,The Fighter,2010,7.8,79,312613,78.0
18,The Expendables,2010,6.5,45,304315,65.0
19,Due Date,2010,6.6,51,300267,66.0
20,TRON: Legacy,2010,6.8,49,292660,68.0
21,True Grit,2010,7.6,80,279638,76.0
22,Salt,2010,6.4,65,274457,64.0
23,RED,2010,7.1,60,268487,71.0
24,The Book of Eli,2010,6.9,53,267072,69.0
25,Clash of the Titans,2010,5.8,39,253262,58.0
26,Prince of Persia: The Sands of Time,2010,6.6,50,251286,66.0
27,Insidious,2010,6.9,52,249062,69.0
28,Robin Hood,2010,6.7,53,236953,67.0
29,The A-Team,2010,6.8,47,233044,68.0
30,The Other Guys,2010,6.7,64,218263,67.0
31,The Twilight Saga: Eclipse,2010,5.0,58,208612,50.0
32,Grown Ups,2010,6.0,30,207311,60.0
33,The Tourist,2010,6.0,37,204038,60.0
34,Megamind,2010,7.3,63,203939,73.0
35,Predators,2010,6.4,51,197026,64.0
36,Machete,2010,6.6,60,180656,66.0
37,Unstoppable,2010,6.8,69,170865,68.0
38,Knight and Day,2010,6.3,46,168068,63.0
39,Blue Valentine,2010,7.4,81,167676,74.0
40,The Next Three Days,2010,7.4,52,165338,74.0
41,Love & Other Drugs,2010,6.7,55,165204,67.0
42,Shrek Forever After,2010,6.3,58,163980,63.0
43,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,162846,59.0
44,Get Him to the Greek,2010,6.4,65,160290,64.0
45,Hot Tub Time Machine,2010,6.4,63,152544,64.0
46,Inception,2010,8.8,74,1799695,88.0
47,Shutter Island,2010,8.1,63,983982,81.0
48,Toy Story 3,2010,8.3,92,667157,83.0
49,Black Swan,2010,8.0,79,638580,80.0
50,Iron Man 2,2010,7.0,57,633681,70.0
51,How to Train Your Dragon,2010,8.1,74,595638,81.0
52,The King's Speech,2010,8.0,88,584869,80.0
53,The Social Network,2010,7.7,95,560871,77.0
54,Kick-Ass,2010,7.6,66,491089,76.0
55,Despicable Me,2010,7.7,72,456440,77.0
56,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,415351,77.0
57,Tangled,2010,7.8,71,358425,78.0
58,Alice in Wonderland,2010,6.5,53,353451,65.0
59,Scott Pilgrim vs. the World,2010,7.5,69,331928,75.0
60,Easy A,2010,7.1,72,324718,71.0
61,127 Hours,2010,7.6,82,319032,76.0
62,The Town,2010,7.6,74,318372,76.0
63,The Fighter,2010,7.8,79,312613,78.0
64,The Expendables,2010,6.5,45,304315,65.0
65,Due Date,2010,6.6,51,300267,66.0
66,TRON: Legacy,2010,6.8,49,292660,68.0
67,True Grit,2010,7.6,80,279638,76.0
68,Salt,2010,6.4,65,274457,64.0
69,RED,2010,7.1,60,268487,71.0
70,The Book of Eli,2010,6.9,53,267072,69.0
71,Clash of the Titans,2010,5.8,39,253262,58.0
72,Prince of Persia: The Sands of Time,2010,6.6,50,251286,66.0
73,Insidious,2010,6.9,52,249062,69.0
74,Robin Hood,2010,6.7,53,236953,67.0
75,The A-Team,2010,6.8,47,233044,68.0
76,The Other Guys,2010,6.7,64,218263,67.0
77,The Twilight Saga: Eclipse,2010,5.0,58,208612,50.0
78,Grown Ups,2010,6.0,30,207311,60.0
79,The Tourist,2010,6.0,37,204038,60.0
80,Megamind,2010,7.3,63,203939,73.0
81,Predators,2010,6.4,51,197026,64.0
82,Machete,2010,6.6,60,180656,66.0
83,Unstoppable,2010,6.8,69,170865,68.0
84,Knight and Day,2010,6.3,46,168068,63.0
85,Blue Valentine,2010,7.4,81,167676,74.0
86,The Next Three Days,2010,7.4,52,165338,74.0
87,Love & Other Drugs,2010,6.7,55,165204,67.0
88,Shrek Forever After,2010,6.3,58,163980,63.0
89,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,162846,59.0
90,Get Him to the Greek,2010,6.4,65,160290,64.0
91,Hot Tub Time Machine,2010,6.4,63,152544,64.0
92,Inception,2010,8.8,74,1799695,88.0
93,Shutter Island,2010,8.1,63,983982,81.0
94,Toy Story 3,2010,8.3,92,667157,83.0
95,Black Swan,2010,8.0,79,638580,80.0
96,Iron Man 2,2010,7.0,57,633681,70.0
97,How to Train Your Dragon,2010,8.1,74,595638,81.0
98,The King's Speech,2010,8.0,88,584869,80.0
99,The Social Network,2010,7.7,95,560871,77.0
100,Kick-Ass,2010,7.6,66,491089,76.0
101,Despicable Me,2010,7.7,72,456440,77.0
102,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,415351,77.0
103,Tangled,2010,7.8,71,358425,78.0
104,Alice in Wonderland,2010,6.5,53,353451,65.0
105,Scott Pilgrim vs. the World,2010,7.5,69,331928,75.0
106,Easy A,2010,7.1,72,324718,71.0
107,127 Hours,2010,7.6,82,319032,76.0
108,The Town,2010,7.6,74,318372,76.0
109,The Fighter,2010,7.8,79,312613,78.0
110,The Expendables,2010,6.5,45,304315,65.0
111,Due Date,2010,6.6,51,300267,66.0
112,TRON: Legacy,2010,6.8,49,292660,68.0
113,True Grit,2010,7.6,80,279638,76.0
114,Salt,2010,6.4,65,274457,64.0
115,RED,2010,7.1,60,268487,71.0
116,The Book of Eli,2010,6.9,53,267072,69.0
117,Clash of the Titans,2010,5.8,39,253262,58.0
118,Prince of Persia: The Sands of Time,2010,6.6,50,251286,66.0
119,Insidious,2010,6.9,52,249062,69.0
120,Robin Hood,2010,6.7,53,236953,67.0
121,The A-Team,2010,6.8,47,233044,68.0
122,The Other Guys,2010,6.7,64,218263,67.0
123,The Twilight Saga: Eclipse,2010,5.0,58,208612,50.0
124,Grown Ups,2010,6.0,30,207311,60.0
125,The Tourist,2010,6.0,37,204038,60.0
126,Megamind,2010,7.3,63,203939,73.0
127,Predators,2010,6.4,51,197026,64.0
128,Machete,2010,6.6,60,180656,66.0
129,Unstoppable,2010,6.8,69,170865,68.0
130,Knight and Day,2010,6.3,46,168068,63.0
131,Blue Valentine,2010,7.4,81,167676,74.0
132,The Next Three Days,2010,7.4,52,165338,74.0
133,Love & Other Drugs,2010,6.7,55,165204,67.0
134,Shrek Forever After,2010,6.3,58,163980,63.0
135,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,162846,59.0
136,Get Him to the Greek,2010,6.4,65,160290,64.0
137,Hot Tub Time Machine,2010,6.4,63,152544,64.0
138,Inception,2010,8.8,74,1799695,88.0
139,Shutter Island,2010,8.1,63,983982,81.0
140,Toy Story 3,2010,8.3,92,667157,83.0
141,Black Swan,2010,8.0,79,638580,80.0
142,Iron Man 2,2010,7.0,57,633681,70.0
143,How to Train Your Dragon,2010,8.1,74,595638,81.0
144,The King's Speech,2010,8.0,88,584869,80.0
145,The Social Network,2010,7.7,95,560871,77.0
146,Kick-Ass,2010,7.6,66,491089,76.0
147,Despicable Me,2010,7.7,72,456440,77.0
148,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,415351,77.0
149,Tangled,2010,7.8,71,358425,78.0
150,Alice in Wonderland,2010,6.5,53,353451,65.0
151,Scott Pilgrim vs. the World,2010,7.5,69,331928,75.0
152,Easy A,2010,7.1,72,324718,71.0
153,127 Hours,2010,7.6,82,319032,76.0
154,The Town,2010,7.6,74,318372,76.0
155,The Fighter,2010,7.8,79,312613,78.0
156,The Expendables,2010,6.5,45,304315,65.0
157,Due Date,2010,6.6,51,300267,66.0
158,TRON: Legacy,2010,6.8,49,292660,68.0
159,True Grit,2010,7.6,80,279638,76.0
160,Salt,2010,6.4,65,274457,64.0
161,RED,2010,7.1,60,268487,71.0
162,The Book of Eli,2010,6.9,53,267072,69.0
163,Clash of the Titans,2010,5.8,39,253262,58.0
164,Prince of Persia: The Sands of Time,2010,6.6,50,251286,66.0
165,Insidious,2010,6.9,52,249062,69.0
166,Robin Hood,2010,6.7,53,236953,67.0
167,The A-Team,2010,6.8,47,233044,68.0
168,The Other Guys,2010,6.7,64,218263,67.0
169,The Twilight Saga: Eclipse,2010,5.0,58,208612,50.0
170,Grown Ups,2010,6.0,30,207311,60.0
171,The Tourist,2010,6.0,37,204038,60.0
172,Megamind,2010,7.3,63,203939,73.0
173,Predators,2010,6.4,51,197026,64.0
174,Machete,2010,6.6,60,180656,66.0
175,Unstoppable,2010,6.8,69,170865,68.0
176,Knight and Day,2010,6.3,46,168068,63.0
177,Blue Valentine,2010,7.4,81,167676,74.0
178,The Next Three Days,2010,7.4,52,165338,74.0
179,Love & Other Drugs,2010,6.7,55,165204,67.0
180,Shrek Forever After,2010,6.3,58,163980,63.0
181,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,162846,59.0
182,Get Him to the Greek,2010,6.4,65,160290,64.0
183,Hot Tub Time Machine,2010,6.4,63,152544,64.0
184,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,678138,81.0
185,The Intouchables,2011,8.5,57,658670,85.0
186,Thor,2011,7.0,57,657742,70.0
187,Captain America: The First Avenger,2011,6.9,66,637116,69.0
188,X-Men: First Class,2011,7.7,65,598227,77.0
189,Drive,2011,7.8,78,513419,78.0
190,Limitless,2011,7.4,59,485122,74.0
191,Rise of the Planet of the Apes,2011,7.6,68,467487,76.0
192,Source Code,2011,7.5,74,445963,75.0
193,Pirates of the Caribbean: On Stranger Tides,2011,6.6,45,440411,66.0
194,"Crazy, Stupid, Love.",2011,7.4,68,431726,74.0
195,The Hangover Part II,2011,6.5,44,426659,65.0
196,Mission: Impossible - Ghost Protocol,2011,7.4,73,422185,74.0
197,Warrior,2011,8.2,71,398258,82.0
198,Horrible Bosses,2011,6.9,57,394467,69.0
199,Sherlock Holmes: A Game of Shadows,2011,7.5,48,388729,75.0
200,The Help,2011,8.1,62,386064,81.0
201,The Girl with the Dragon Tattoo,2011,7.8,71,382537,78.0
202,Transformers: Dark of the Moon,2011,6.3,42,362432,63.0
203,Midnight in Paris,2011,7.7,81,351333,77.0
204,In Time,2011,6.7,53,342101,67.0
205,The Cabin in the Woods,2011,7.0,72,332792,70.0
206,Fast Five,2011,7.3,66,325713,73.0
207,Moneyball,2011,7.6,87,321309,76.0
208,Super 8,2011,7.0,72,317641,70.0
209,Friends with Benefits,2011,6.6,63,312923,66.0
210,50/50,2011,7.7,72,297692,77.0
211,Hugo,2011,7.5,83,281439,75.0
212,Real Steel,2011,7.1,56,281175,71.0
213,Green Lantern,2011,5.5,39,249257,55.0
214,Bridesmaids,2011,6.8,75,246487,68.0
215,Unknown,2011,6.9,56,233045,69.0
216,The Grey,2011,6.8,64,226513,68.0
217,The Adjustment Bureau,2011,7.1,60,225023,71.0
218,Kung Fu Panda 2,2011,7.2,67,223198,72.0
219,The Descendants,2011,7.3,84,221929,73.0
220,Paul,2011,7.0,57,217708,70.0
221,Sucker Punch,2011,6.1,33,216304,61.0
222,I Am Number Four,2011,6.1,36,215514,61.0
223,The Artist,2011,7.9,89,215060,79.0
224,Rango,2011,7.2,75,212441,72.0
225,The Ides of March,2011,7.1,67,205955,71.0
226,The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,45,205429,49.0
227,The Adventures of Tintin,2011,7.3,68,200010,73.0
228,Contagion,2011,6.6,70,199426,66.0
229,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,678138,81.0
230,The Intouchables,2011,8.5,57,658670,85.0
231,Thor,2011,7.0,57,657742,70.0
232,Captain America: The First Avenger,2011,6.9,66,637116,69.0
233,X-Men: First Class,2011,7.7,65,598227,77.0
234,Drive,2011,7.8,78,513419,78.0
235,Limitless,2011,7.4,59,485122,74.0
236,Rise of the Planet of the Apes,2011,7.6,68,467487,76.0
237,Source Code,2011,7.5,74,445963,75.0
238,Pirates of the Caribbean: On Stranger Tides,2011,6.6,45,440411,66.0
239,"Crazy, Stupid, Love.",2011,7.4,68,431726,74.0
240,The Hangover Part II,2011,6.5,44,426659,65.0
241,Mission: Impossible - Ghost Protocol,2011,7.4,73,422185,74.0
242,Warrior,2011,8.2,71,398258,82.0
243,Horrible Bosses,2011,6.9,57,394467,69.0
244,Sherlock Holmes: A Game of Shadows,2011,7.5,48,388729,75.0
245,The Help,2011,8.1,62,386064,81.0
246,The Girl with the Dragon Tattoo,2011,7.8,71,382537,78.0
247,Transformers: Dark of the Moon,2011,6.3,42,362432,63.0
248,Midnight in Paris,2011,7.7,81,351333,77.0
249,In Time,2011,6.7,53,342101,67.0
250,The Cabin in the Woods,2011,7.0,72,332792,70.0
251,Fast Five,2011,7.3,66,325713,73.0
252,Moneyball,2011,7.6,87,321309,76.0
253,Super 8,2011,7.0,72,317641,70.0
254,Friends with Benefits,2011,6.6,63,312923,66.0
255,50/50,2011,7.7,72,297692,77.0
256,Hugo,2011,7.5,83,281439,75.0
257,Real Steel,2011,7.1,56,281175,71.0
258,Green Lantern,2011,5.5,39,249257,55.0
259,Bridesmaids,2011,6.8,75,246487,68.0
260,Unknown,2011,6.9,56,233045,69.0
261,The Grey,2011,6.8,64,226513,68.0
262,The Adjustment Bureau,2011,7.1,60,225023,71.0
263,Kung Fu Panda 2,2011,7.2,67,223198,72.0
264,The Descendants,2011,7.3,84,221929,73.0
265,Paul,2011,7.0,57,217708,70.0
266,Sucker Punch,2011,6.1,33,216304,61.0
267,I Am Number Four,2011,6.1,36,215514,61.0
268,The Artist,2011,7.9,89,215060,79.0
269,Rango,2011,7.2,75,212441,72.0
270,The Ides of March,2011,7.1,67,205955,71.0
271,The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,45,205429,49.0
272,The Adventures of Tintin,2011,7.3,68,200010,73.0
273,Contagion,2011,6.6,70,199426,66.0
274,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,678138,81.0
275,The Intouchables,2011,8.5,57,658670,85.0
276,Thor,2011,7.0,57,657742,70.0
277,Captain America: The First Avenger,2011,6.9,66,637116,69.0
278,X-Men: First Class,2011,7.7,65,598227,77.0
279,Drive,2011,7.8,78,513419,78.0
280,Limitless,2011,7.4,59,485122,74.0
281,Rise of the Planet of the Apes,2011,7.6,68,467487,76.0
282,Source Code,2011,7.5,74,445963,75.0
283,Pirates of the Caribbean: On Stranger Tides,2011,6.6,45,440411,66.0
284,"Crazy, Stupid, Love.",2011,7.4,68,431726,74.0
285,The Hangover Part II,2011,6.5,44,426659,65.0
286,Mission: Impossible - Ghost Protocol,2011,7.4,73,422185,74.0
287,Warrior,2011,8.2,71,398258,82.0
288,Horrible Bosses,2011,6.9,57,394467,69.0
289,Sherlock Holmes: A Game of Shadows,2011,7.5,48,388729,75.0
290,The Help,2011,8.1,62,386064,81.0
291,The Girl with the Dragon Tattoo,2011,7.8,71,382537,78.0
292,Transformers: Dark of the Moon,2011,6.3,42,362432,63.0
293,Midnight in Paris,2011,7.7,81,351333,77.0
294,In Time,2011,6.7,53,342101,67.0
295,The Cabin in the Woods,2011,7.0,72,332792,70.0
296,Fast Five,2011,7.3,66,325713,73.0
297,Moneyball,2011,7.6,87,321309,76.0
298,Super 8,2011,7.0,72,317641,70.0
299,Friends with Benefits,2011,6.6,63,312923,66.0
300,50/50,2011,7.7,72,297692,77.0
301,Hugo,2011,7.5,83,281439,75.0
302,Real Steel,2011,7.1,56,281175,71.0
303,Green Lantern,2011,5.5,39,249257,55.0
304,Bridesmaids,2011,6.8,75,246487,68.0
305,Unknown,2011,6.9,56,233045,69.0
306,The Grey,2011,6.8,64,226513,68.0
307,The Adjustment Bureau,2011,7.1,60,225023,71.0
308,Kung Fu Panda 2,2011,7.2,67,223198,72.0
309,The Descendants,2011,7.3,84,221929,73.0
310,Paul,2011,7.0,57,217708,70.0
311,Sucker Punch,2011,6.1,33,216304,61.0
312,I Am Number Four,2011,6.1,36,215514,61.0
313,The Artist,2011,7.9,89,215060,79.0
314,Rango,2011,7.2,75,212441,72.0
315,The Ides of March,2011,7.1,67,205955,71.0
316,The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,45,205429,49.0
317,The Adventures of Tintin,2011,7.3,68,200010,73.0
318,Contagion,2011,6.6,70,199426,66.0
319,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,678138,81.0
320,The Intouchables,2011,8.5,57,658670,85.0
321,Thor,2011,7.0,57,657742,70.0
322,Captain America: The First Avenger,2011,6.9,66,637116,69.0
323,X-Men: First Class,2011,7.7,65,598227,77.0
324,Drive,2011,7.8,78,513419,78.0
325,Limitless,2011,7.4,59,485122,74.0
326,Rise of the Planet of the Apes,2011,7.6,68,467487,76.0
327,Source Code,2011,7.5,74,445963,75.0
328,Pirates of the Caribbean: On Stranger Tides,2011,6.6,45,440411,66.0
329,"Crazy, Stupid, Love.",2011,7.4,68,431726,74.0
330,The Hangover Part II,2011,6.5,44,426659,65.0
331,Mission: Impossible - Ghost Protocol,2011,7.4,73,422185,74.0
332,Warrior,2011,8.2,71,398258,82.0
333,Horrible Bosses,2011,6.9,57,394467,69.0
334,Sherlock Holmes: A Game of Shadows,2011,7.5,48,388729,75.0
335,The Help,2011,8.1,62,386064,81.0
336,The Girl with the Dragon Tattoo,2011,7.8,71,382537,78.0
337,Transformers: Dark of the Moon,2011,6.3,42,362432,63.0
338,Midnight in Paris,2011,7.7,81,351333,77.0
339,In Time,2011,6.7,53,342101,67.0
340,The Cabin in the Woods,2011,7.0,72,332792,70.0
341,Fast Five,2011,7.3,66,325713,73.0
342,Moneyball,2011,7.6,87,321309,76.0
343,Super 8,2011,7.0,72,317641,70.0
344,Friends with Benefits,2011,6.6,63,312923,66.0
345,50/50,2011,7.7,72,297692,77.0
346,Hugo,2011,7.5,83,281439,75.0
347,Real Steel,2011,7.1,56,281175,71.0
348,Green Lantern,2011,5.5,39,249257,55.0
349,Bridesmaids,2011,6.8,75,246487,68.0
350,Unknown,2011,6.9,56,233045,69.0
351,The Grey,2011,6.8,64,226513,68.0
352,The Adjustment Bureau,2011,7.1,60,225023,71.0
353,Kung Fu Panda 2,2011,7.2,67,223198,72.0
354,The Descendants,2011,7.3,84,221929,73.0
355,Paul,2011,7.0,57,217708,70.0
356,Sucker Punch,2011,6.1,33,216304,61.0
357,I Am Number Four,2011,6.1,36,215514,61.0
358,The Artist,2011,7.9,89,215060,79.0
359,Rango,2011,7.2,75,212441,72.0
360,The Ides of March,2011,7.1,67,205955,71.0
361,The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,45,205429,49.0
362,The Adventures of Tintin,2011,7.3,68,200010,73.0
363,Contagion,2011,6.6,70,199426,66.0
364,The Dark Knight Rises,2012,8.4,78,1361582,84.0
365,Django Unchained,2012,8.4,81,1184449,84.0
366,The Avengers,2012,8.1,69,1149602,81.0
367,The Hunger Games,2012,7.2,68,786116,72.0
368,The Hobbit: An Unexpected Journey,2012,7.9,58,712476,79.0
369,Silver Linings Playbook,2012,7.7,81,613832,77.0
370,Skyfall,2012,7.8,81,585725,78.0
371,Prometheus,2012,7.0,64,532734,70.0
372,Ted,2012,6.9,62,531643,69.0
373,Argo,2012,7.7,86,527836,77.0
374,Life of Pi,2012,7.9,79,525112,79.0
375,The Amazing Spider-Man,2012,7.0,66,517059,70.0
376,Looper,2012,7.4,84,493725,74.0
377,21 Jump Street,2012,7.2,69,470883,72.0
378,The Perks of Being a Wallflower,2012,8.0,67,416943,80.0
379,Wreck-It Ralph,2012,7.7,72,333746,77.0
380,Brave,2012,7.1,69,331566,71.0
381,Cloud Atlas,2012,7.4,55,323136,74.0
382,Men in Black 3,2012,6.8,58,303926,68.0
383,Flight,2012,7.3,76,299084,73.0
384,Moonrise Kingdom,2012,7.8,84,287237,78.0
385,Les Misérables,2012,7.6,63,282043,76.0
386,Jack Reacher,2012,7.0,50,280399,70.0
387,The Expendables 2,2012,6.6,51,274623,66.0
388,Taken 2,2012,6.3,45,269846,63.0
389,The Bourne Legacy,2012,6.7,61,265306,67.0
390,Snow White and the Huntsman,2012,6.1,57,256075,61.0
391,Pitch Perfect,2012,7.2,66,252198,72.0
392,The Dictator,2012,6.4,58,247085,64.0
393,Zero Dark Thirty,2012,7.4,95,246991,74.0
394,John Carter,2012,6.6,51,236368,66.0
395,The Hunt,2012,8.3,77,235152,83.0
396,Dredd,2012,7.1,60,231902,71.0
397,Chronicle,2012,7.1,69,227120,71.0
398,Dark Shadows,2012,6.2,55,226456,62.0
399,Total Recall,2012,6.3,43,225976,63.0
400,Lincoln,2012,7.4,86,225938,74.0
401,Battleship,2012,5.8,41,223568,58.0
402,The Place Beyond the Pines,2012,7.3,68,223386,73.0
403,Seven Psychopaths,2012,7.2,66,220331,72.0
404,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,211917,55.0
405,Lawless,2012,7.3,58,211739,73.0
406,End of Watch,2012,7.6,68,208785,76.0
407,Hotel Transylvania,2012,7.1,47,200964,71.0
408,Sinister,2012,6.8,53,194798,68.0
409,American Reunion,2012,6.7,49,189988,67.0
410,Safe House,2012,6.8,52,189707,68.0
411,Project X,2012,6.7,48,175731,67.0
412,The Impossible,2012,7.6,73,174458,76.0
413,The Dark Knight Rises,2012,8.4,78,1361582,84.0
414,Django Unchained,2012,8.4,81,1184449,84.0
415,The Avengers,2012,8.1,69,1149602,81.0
416,The Hunger Games,2012,7.2,68,786116,72.0
