,movie,year,imdb,metascore,votes,n_imdb
417,The Hobbit: An Unexpected Journey,2012,7.9,58,712476,79.0
418,Silver Linings Playbook,2012,7.7,81,613832,77.0
419,Skyfall,2012,7.8,81,585725,78.0
420,Prometheus,2012,7.0,64,532734,70.0
421,Ted,2012,6.9,62,531643,69.0
422,Argo,2012,7.7,86,527836,77.0
423,Life of Pi,2012,7.9,79,525112,79.0
424,The Amazing Spider-Man,2012,7.0,66,517059,70.0
425,Looper,2012,7.4,84,493725,74.0
426,21 Jump Street,2012,7.2,69,470883,72.0
427,The Perks of Being a Wallflower,2012,8.0,67,416943,80.0
428,Wreck-It Ralph,2012,7.7,72,333746,77.0
429,Brave,2012,7.1,69,331566,71.0
430,Cloud Atlas,2012,7.4,55,323136,74.0
431,Men in Black 3,2012,6.8,58,303926,68.0
432,Flight,2012,7.3,76,299084,73.0
433,Moonrise Kingdom,2012,7.8,84,287237,78.0
434,Les Misérables,2012,7.6,63,282043,76.0
435,Jack Reacher,2012,7.0,50,280399,70.0
436,The Expendables 2,2012,6.6,51,274623,66.0
437,Taken 2,2012,6.3,45,269846,63.0
438,The Bourne Legacy,2012,6.7,61,265306,67.0
439,Snow White and the Huntsman,2012,6.1,57,256075,61.0
440,Pitch Perfect,2012,7.2,66,252198,72.0
441,The Dictator,2012,6.4,58,247085,64.0
442,Zero Dark Thirty,2012,7.4,95,246991,74.0
443,John Carter,2012,6.6,51,236368,66.0
444,The Hunt,2012,8.3,77,235152,83.0
445,Dredd,2012,7.1,60,231902,71.0
446,Chronicle,2012,7.1,69,227120,71.0
447,Dark Shadows,2012,6.2,55,226456,62.0
448,Total Recall,2012,6.3,43,225976,63.0
449,Lincoln,2012,7.4,86,225938,74.0
450,Battleship,2012,5.8,41,223568,58.0
451,The Place Beyond the Pines,2012,7.3,68,223386,73.0
452,Seven Psychopaths,2012,7.2,66,220331,72.0
453,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,211917,55.0
454,Lawless,2012,7.3,58,211739,73.0
455,End of Watch,2012,7.6,68,208785,76.0
456,Hotel Transylvania,2012,7.1,47,200964,71.0
457,Sinister,2012,6.8,53,194798,68.0
458,American Reunion,2012,6.7,49,189988,67.0
459,Safe House,2012,6.8,52,189707,68.0
460,Project X,2012,6.7,48,175731,67.0
461,The Impossible,2012,7.6,73,174458,76.0
462,The Dark Knight Rises,2012,8.4,78,1361582,84.0
463,Django Unchained,2012,8.4,81,1184449,84.0
464,The Avengers,2012,8.1,69,1149602,81.0
465,The Hunger Games,2012,7.2,68,786116,72.0
466,The Hobbit: An Unexpected Journey,2012,7.9,58,712476,79.0
467,Silver Linings Playbook,2012,7.7,81,613832,77.0
468,Skyfall,2012,7.8,81,585725,78.0
469,Prometheus,2012,7.0,64,532734,70.0
470,Ted,2012,6.9,62,531643,69.0
471,Argo,2012,7.7,86,527836,77.0
472,Life of Pi,2012,7.9,79,525112,79.0
473,The Amazing Spider-Man,2012,7.0,66,517059,70.0
474,Looper,2012,7.4,84,493725,74.0
475,21 Jump Street,2012,7.2,69,470883,72.0
476,The Perks of Being a Wallflower,2012,8.0,67,416943,80.0
477,Wreck-It Ralph,2012,7.7,72,333746,77.0
478,Brave,2012,7.1,69,331566,71.0
479,Cloud Atlas,2012,7.4,55,323136,74.0
480,Men in Black 3,2012,6.8,58,303926,68.0
481,Flight,2012,7.3,76,299084,73.0
482,Moonrise Kingdom,2012,7.8,84,287237,78.0
483,Les Misérables,2012,7.6,63,282043,76.0
484,Jack Reacher,2012,7.0,50,280399,70.0
485,The Expendables 2,2012,6.6,51,274623,66.0
486,Taken 2,2012,6.3,45,269846,63.0
487,The Bourne Legacy,2012,6.7,61,265306,67.0
488,Snow White and the Huntsman,2012,6.1,57,256075,61.0
489,Pitch Perfect,2012,7.2,66,252198,72.0
490,The Dictator,2012,6.4,58,247085,64.0
491,Zero Dark Thirty,2012,7.4,95,246991,74.0
492,John Carter,2012,6.6,51,236368,66.0
493,The Hunt,2012,8.3,77,235152,83.0
494,Dredd,2012,7.1,60,231902,71.0
495,Chronicle,2012,7.1,69,227120,71.0
496,Dark Shadows,2012,6.2,55,226456,62.0
497,Total Recall,2012,6.3,43,225976,63.0
498,Lincoln,2012,7.4,86,225938,74.0
499,Battleship,2012,5.8,41,223568,58.0
500,The Place Beyond the Pines,2012,7.3,68,223386,73.0
501,Seven Psychopaths,2012,7.2,66,220331,72.0
502,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,211917,55.0
503,Lawless,2012,7.3,58,211739,73.0
504,End of Watch,2012,7.6,68,208785,76.0
505,Hotel Transylvania,2012,7.1,47,200964,71.0
506,Sinister,2012,6.8,53,194798,68.0
507,American Reunion,2012,6.7,49,189988,67.0
508,Safe House,2012,6.8,52,189707,68.0
509,Project X,2012,6.7,48,175731,67.0
510,The Impossible,2012,7.6,73,174458,76.0
511,The Dark Knight Rises,2012,8.4,78,1361582,84.0
512,Django Unchained,2012,8.4,81,1184449,84.0
513,The Avengers,2012,8.1,69,1149602,81.0
514,The Hunger Games,2012,7.2,68,786116,72.0
515,The Hobbit: An Unexpected Journey,2012,7.9,58,712476,79.0
516,Silver Linings Playbook,2012,7.7,81,613832,77.0
517,Skyfall,2012,7.8,81,585725,78.0
518,Prometheus,2012,7.0,64,532734,70.0
519,Ted,2012,6.9,62,531643,69.0
520,Argo,2012,7.7,86,527836,77.0
521,Life of Pi,2012,7.9,79,525112,79.0
522,The Amazing Spider-Man,2012,7.0,66,517059,70.0
523,Looper,2012,7.4,84,493725,74.0
524,21 Jump Street,2012,7.2,69,470883,72.0
525,The Perks of Being a Wallflower,2012,8.0,67,416943,80.0
526,Wreck-It Ralph,2012,7.7,72,333746,77.0
527,Brave,2012,7.1,69,331566,71.0
528,Cloud Atlas,2012,7.4,55,323136,74.0
529,Men in Black 3,2012,6.8,58,303926,68.0
530,Flight,2012,7.3,76,299084,73.0
531,Moonrise Kingdom,2012,7.8,84,287237,78.0
532,Les Misérables,2012,7.6,63,282043,76.0
533,Jack Reacher,2012,7.0,50,280399,70.0
534,The Expendables 2,2012,6.6,51,274623,66.0
535,Taken 2,2012,6.3,45,269846,63.0
536,The Bourne Legacy,2012,6.7,61,265306,67.0
537,Snow White and the Huntsman,2012,6.1,57,256075,61.0
538,Pitch Perfect,2012,7.2,66,252198,72.0
539,The Dictator,2012,6.4,58,247085,64.0
540,Zero Dark Thirty,2012,7.4,95,246991,74.0
541,John Carter,2012,6.6,51,236368,66.0
542,The Hunt,2012,8.3,77,235152,83.0
543,Dredd,2012,7.1,60,231902,71.0
544,Chronicle,2012,7.1,69,227120,71.0
545,Dark Shadows,2012,6.2,55,226456,62.0
546,Total Recall,2012,6.3,43,225976,63.0
547,Lincoln,2012,7.4,86,225938,74.0
548,Battleship,2012,5.8,41,223568,58.0
549,The Place Beyond the Pines,2012,7.3,68,223386,73.0
550,Seven Psychopaths,2012,7.2,66,220331,72.0
551,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,211917,55.0
552,Lawless,2012,7.3,58,211739,73.0
553,End of Watch,2012,7.6,68,208785,76.0
554,Hotel Transylvania,2012,7.1,47,200964,71.0
555,Sinister,2012,6.8,53,194798,68.0
556,American Reunion,2012,6.7,49,189988,67.0
557,Safe House,2012,6.8,52,189707,68.0
558,Project X,2012,6.7,48,175731,67.0
559,The Impossible,2012,7.6,73,174458,76.0
560,The Wolf of Wall Street,2013,8.2,75,1010016,82.0
561,Gravity,2013,7.7,96,696061,77.0
562,Iron Man 3,2013,7.2,62,668687,72.0
563,Man of Steel,2013,7.1,55,636367,71.0
564,The Hunger Games: Catching Fire,2013,7.5,76,567635,75.0
565,12 Years a Slave,2013,8.1,96,565827,81.0
566,The Hobbit: The Desolation of Smaug,2013,7.8,66,558271,78.0
567,World War Z,2013,7.0,63,544762,70.0
568,Now You See Me,2013,7.3,50,544262,73.0
569,Thor: The Dark World,2013,7.0,54,519624,70.0
570,Prisoners,2013,8.1,74,514497,81.0
571,Frozen,2013,7.5,74,507325,75.0
572,Her,2013,8.0,90,455554,80.0
573,Oblivion,2013,7.0,54,446764,70.0
574,Star Trek Into Darkness,2013,7.7,72,441925,77.0
575,Pacific Rim,2013,6.9,65,438244,69.0
576,The Great Gatsby,2013,7.3,55,425314,73.0
577,American Hustle,2013,7.2,90,412847,72.0
578,Dallas Buyers Club,2013,8.0,84,396291,80.0
579,The Wolverine,2013,6.7,61,393240,67.0
580,Elysium,2013,6.6,61,390269,66.0
581,The Conjuring,2013,7.5,68,387033,75.0
582,Rush,2013,8.1,75,385514,81.0
583,Captain Phillips,2013,7.8,83,381462,78.0
584,We're the Millers,2013,7.0,44,366627,70.0
585,This Is the End,2013,6.6,67,355770,66.0
586,Fast & Furious 6,2013,7.1,61,342558,71.0
587,Despicable Me 2,2013,7.4,62,338268,74.0
588,Monsters University,2013,7.3,65,286206,73.0
589,The Secret Life of Walter Mitty,2013,7.3,54,272149,73.0
590,The Hangover Part III,2013,5.8,30,265652,58.0
591,About Time,2013,7.8,55,254239,78.0
592,Lone Survivor,2013,7.5,60,243004,75.0
593,Kick-Ass 2,2013,6.6,41,234478,66.0
594,Olympus Has Fallen,2013,6.5,41,232239,65.0
595,Snowpiercer,2013,7.1,84,231500,71.0
596,The World's End,2013,7.0,81,228522,70.0
597,Don Jon,2013,6.6,66,213885,66.0
598,Ender's Game,2013,6.6,51,209027,66.0
599,Escape Plan,2013,6.7,49,208685,67.0
600,Warm Bodies,2013,6.9,60,206619,69.0
601,The Lone Ranger,2013,6.4,37,206409,64.0
602,Gangster Squad,2013,6.7,40,193384,67.0
603,Oz the Great and Powerful,2013,6.3,44,190673,63.0
604,White House Down,2013,6.4,52,189213,64.0
605,The Wolf of Wall Street,2013,8.2,75,1010016,82.0
606,Gravity,2013,7.7,96,696061,77.0
607,Iron Man 3,2013,7.2,62,668687,72.0
608,Man of Steel,2013,7.1,55,636367,71.0
609,The Hunger Games: Catching Fire,2013,7.5,76,567635,75.0
610,12 Years a Slave,2013,8.1,96,565827,81.0
611,The Hobbit: The Desolation of Smaug,2013,7.8,66,558271,78.0
612,World War Z,2013,7.0,63,544762,70.0
613,Now You See Me,2013,7.3,50,544262,73.0
614,Thor: The Dark World,2013,7.0,54,519624,70.0
615,Prisoners,2013,8.1,74,514497,81.0
616,Frozen,2013,7.5,74,507325,75.0
617,Her,2013,8.0,90,455554,80.0
618,Oblivion,2013,7.0,54,446764,70.0
619,Star Trek Into Darkness,2013,7.7,72,441925,77.0
620,Pacific Rim,2013,6.9,65,438244,69.0
621,The Great Gatsby,2013,7.3,55,425314,73.0
622,American Hustle,2013,7.2,90,412847,72.0
623,Dallas Buyers Club,2013,8.0,84,396291,80.0
624,The Wolverine,2013,6.7,61,393240,67.0
625,Elysium,2013,6.6,61,390269,66.0
626,The Conjuring,2013,7.5,68,387033,75.0
627,Rush,2013,8.1,75,385514,81.0
628,Captain Phillips,2013,7.8,83,381462,78.0
629,We're the Millers,2013,7.0,44,366627,70.0
630,This Is the End,2013,6.6,67,355770,66.0
631,Fast & Furious 6,2013,7.1,61,342558,71.0
632,Despicable Me 2,2013,7.4,62,338268,74.0
633,Monsters University,2013,7.3,65,286206,73.0
634,The Secret Life of Walter Mitty,2013,7.3,54,272149,73.0
635,The Hangover Part III,2013,5.8,30,265652,58.0
636,About Time,2013,7.8,55,254239,78.0
637,Lone Survivor,2013,7.5,60,243004,75.0
638,Kick-Ass 2,2013,6.6,41,234478,66.0
639,Olympus Has Fallen,2013,6.5,41,232239,65.0
640,Snowpiercer,2013,7.1,84,231500,71.0
641,The World's End,2013,7.0,81,228522,70.0
642,Don Jon,2013,6.6,66,213885,66.0
643,Ender's Game,2013,6.6,51,209027,66.0
644,Escape Plan,2013,6.7,49,208685,67.0
645,Warm Bodies,2013,6.9,60,206619,69.0
646,The Lone Ranger,2013,6.4,37,206409,64.0
647,Gangster Squad,2013,6.7,40,193384,67.0
648,Oz the Great and Powerful,2013,6.3,44,190673,63.0
649,White House Down,2013,6.4,52,189213,64.0
650,The Wolf of Wall Street,2013,8.2,75,1010016,82.0
651,Gravity,2013,7.7,96,696061,77.0
652,Iron Man 3,2013,7.2,62,668687,72.0
653,Man of Steel,2013,7.1,55,636367,71.0
654,The Hunger Games: Catching Fire,2013,7.5,76,567635,75.0
655,12 Years a Slave,2013,8.1,96,565827,81.0
656,The Hobbit: The Desolation of Smaug,2013,7.8,66,558271,78.0
657,World War Z,2013,7.0,63,544762,70.0
658,Now You See Me,2013,7.3,50,544262,73.0
659,Thor: The Dark World,2013,7.0,54,519624,70.0
660,Prisoners,2013,8.1,74,514497,81.0
661,Frozen,2013,7.5,74,507325,75.0
662,Her,2013,8.0,90,455554,80.0
663,Oblivion,2013,7.0,54,446764,70.0
664,Star Trek Into Darkness,2013,7.7,72,441925,77.0
665,Pacific Rim,2013,6.9,65,438244,69.0
666,The Great Gatsby,2013,7.3,55,425314,73.0
667,American Hustle,2013,7.2,90,412847,72.0
668,Dallas Buyers Club,2013,8.0,84,396291,80.0
669,The Wolverine,2013,6.7,61,393240,67.0
670,Elysium,2013,6.6,61,390269,66.0
671,The Conjuring,2013,7.5,68,387033,75.0
672,Rush,2013,8.1,75,385514,81.0
673,Captain Phillips,2013,7.8,83,381462,78.0
674,We're the Millers,2013,7.0,44,366627,70.0
675,This Is the End,2013,6.6,67,355770,66.0
676,Fast & Furious 6,2013,7.1,61,342558,71.0
677,Despicable Me 2,2013,7.4,62,338268,74.0
678,Monsters University,2013,7.3,65,286206,73.0
679,The Secret Life of Walter Mitty,2013,7.3,54,272149,73.0
680,The Hangover Part III,2013,5.8,30,265652,58.0
681,About Time,2013,7.8,55,254239,78.0
682,Lone Survivor,2013,7.5,60,243004,75.0
683,Kick-Ass 2,2013,6.6,41,234478,66.0
684,Olympus Has Fallen,2013,6.5,41,232239,65.0
685,Snowpiercer,2013,7.1,84,231500,71.0
686,The World's End,2013,7.0,81,228522,70.0
687,Don Jon,2013,6.6,66,213885,66.0
688,Ender's Game,2013,6.6,51,209027,66.0
689,Escape Plan,2013,6.7,49,208685,67.0
690,Warm Bodies,2013,6.9,60,206619,69.0
691,The Lone Ranger,2013,6.4,37,206409,64.0
692,Gangster Squad,2013,6.7,40,193384,67.0
693,Oz the Great and Powerful,2013,6.3,44,190673,63.0
694,White House Down,2013,6.4,52,189213,64.0
695,The Wolf of Wall Street,2013,8.2,75,1010016,82.0
696,Gravity,2013,7.7,96,696061,77.0
697,Iron Man 3,2013,7.2,62,668687,72.0
698,Man of Steel,2013,7.1,55,636367,71.0
699,The Hunger Games: Catching Fire,2013,7.5,76,567635,75.0
700,12 Years a Slave,2013,8.1,96,565827,81.0
701,The Hobbit: The Desolation of Smaug,2013,7.8,66,558271,78.0
702,World War Z,2013,7.0,63,544762,70.0
703,Now You See Me,2013,7.3,50,544262,73.0
704,Thor: The Dark World,2013,7.0,54,519624,70.0
705,Prisoners,2013,8.1,74,514497,81.0
706,Frozen,2013,7.5,74,507325,75.0
707,Her,2013,8.0,90,455554,80.0
708,Oblivion,2013,7.0,54,446764,70.0
709,Star Trek Into Darkness,2013,7.7,72,441925,77.0
710,Pacific Rim,2013,6.9,65,438244,69.0
711,The Great Gatsby,2013,7.3,55,425314,73.0
712,American Hustle,2013,7.2,90,412847,72.0
713,Dallas Buyers Club,2013,8.0,84,396291,80.0
714,The Wolverine,2013,6.7,61,393240,67.0
715,Elysium,2013,6.6,61,390269,66.0
716,The Conjuring,2013,7.5,68,387033,75.0
717,Rush,2013,8.1,75,385514,81.0
718,Captain Phillips,2013,7.8,83,381462,78.0
719,We're the Millers,2013,7.0,44,366627,70.0
720,This Is the End,2013,6.6,67,355770,66.0
721,Fast & Furious 6,2013,7.1,61,342558,71.0
722,Despicable Me 2,2013,7.4,62,338268,74.0
723,Monsters University,2013,7.3,65,286206,73.0
724,The Secret Life of Walter Mitty,2013,7.3,54,272149,73.0
725,The Hangover Part III,2013,5.8,30,265652,58.0
726,About Time,2013,7.8,55,254239,78.0
727,Lone Survivor,2013,7.5,60,243004,75.0
728,Kick-Ass 2,2013,6.6,41,234478,66.0
729,Olympus Has Fallen,2013,6.5,41,232239,65.0
730,Snowpiercer,2013,7.1,84,231500,71.0
731,The World's End,2013,7.0,81,228522,70.0
732,Don Jon,2013,6.6,66,213885,66.0
733,Ender's Game,2013,6.6,51,209027,66.0
734,Escape Plan,2013,6.7,49,208685,67.0
735,Warm Bodies,2013,6.9,60,206619,69.0
736,The Lone Ranger,2013,6.4,37,206409,64.0
737,Gangster Squad,2013,6.7,40,193384,67.0
738,Oz the Great and Powerful,2013,6.3,44,190673,63.0
739,White House Down,2013,6.4,52,189213,64.0
740,Interstellar,2014,8.6,74,1260178,86.0
741,Guardians of the Galaxy,2014,8.1,76,909491,81.0
742,Gone Girl,2014,8.1,79,744839,81.0
743,Captain America: The Winter Soldier,2014,7.8,70,637435,78.0
744,The Grand Budapest Hotel,2014,8.1,88,620793,81.0
745,X-Men: Days of Future Past,2014,8.0,75,607538,80.0
746,The Imitation Game,2014,8.0,73,606173,80.0
747,Whiplash,2014,8.5,88,596604,85.0
748,Edge of Tomorrow,2014,7.9,71,536230,79.0
749,Kingsman: The Secret Service,2014,7.7,60,533512,77.0
750,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,507863,77.0
751,The Hobbit: The Battle of the Five Armies,2014,7.4,59,431173,74.0
752,John Wick,2014,7.3,68,418218,73.0
753,Ex Machina,2014,7.7,78,413878,77.0
754,Lucy,2014,6.4,61,395561,64.0
755,Nightcrawler,2014,7.9,76,394875,79.0
756,American Sniper,2014,7.3,72,394677,73.0
757,Divergent,2014,6.7,48,394426,67.0
758,Dawn of the Planet of the Apes,2014,7.6,79,384705,76.0
759,The Amazing Spider-Man 2,2014,6.6,53,380993,66.0
760,The Maze Runner,2014,6.8,57,380572,68.0
761,Fury,2014,7.6,64,374610,76.0
762,The Hunger Games: Mockingjay - Part 1,2014,6.7,64,371840,67.0
763,Big Hero 6,2014,7.8,74,360441,78.0
764,The Theory of Everything,2014,7.7,72,352366,77.0
765,Godzilla,2014,6.4,62,342003,64.0
766,22 Jump Street,2014,7.0,71,313884,70.0
767,Boyhood,2014,7.9,100,312102,79.0
768,The Fault in Our Stars,2014,7.7,69,309125,77.0
769,Maleficent,2014,7.0,56,299648,70.0
770,The Lego Movie,2014,7.8,83,296822,78.0
771,The Equalizer,2014,7.2,57,295099,72.0
772,The Interview,2014,6.5,52,283203,65.0
773,Transformers: Age of Extinction,2014,5.7,32,279891,57.0
774,How to Train Your Dragon 2,2014,7.8,76,267510,78.0
775,Neighbors,2014,6.3,68,261764,63.0
776,300: Rise of an Empire,2014,6.2,48,259100,62.0
777,Non-Stop,2014,7.0,56,231725,70.0
778,Noah,2014,5.8,68,226480,58.0
779,Predestination,2014,7.5,69,220872,75.0
780,RoboCop,2014,6.2,52,203483,62.0
781,Transcendence,2014,6.3,42,202075,63.0
782,Teenage Mutant Ninja Turtles,2014,5.8,31,190561,58.0
783,It Follows,2014,6.8,83,177686,68.0
784,Chef,2014,7.3,68,170468,73.0
785,Interstellar,2014,8.6,74,1260178,86.0
786,Guardians of the Galaxy,2014,8.1,76,909491,81.0
787,Gone Girl,2014,8.1,79,744839,81.0
788,Captain America: The Winter Soldier,2014,7.8,70,637435,78.0
789,The Grand Budapest Hotel,2014,8.1,88,620793,81.0
790,X-Men: Days of Future Past,2014,8.0,75,607538,80.0
791,The Imitation Game,2014,8.0,73,606173,80.0
792,Whiplash,2014,8.5,88,596604,85.0
793,Edge of Tomorrow,2014,7.9,71,536230,79.0
794,Kingsman: The Secret Service,2014,7.7,60,533512,77.0
795,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,507863,77.0
796,The Hobbit: The Battle of the Five Armies,2014,7.4,59,431173,74.0
797,John Wick,2014,7.3,68,418218,73.0
798,Ex Machina,2014,7.7,78,413878,77.0
799,Lucy,2014,6.4,61,395561,64.0
800,Nightcrawler,2014,7.9,76,394875,79.0
801,American Sniper,2014,7.3,72,394677,73.0
802,Divergent,2014,6.7,48,394426,67.0
803,Dawn of the Planet of the Apes,2014,7.6,79,384705,76.0
804,The Amazing Spider-Man 2,2014,6.6,53,380993,66.0
805,The Maze Runner,2014,6.8,57,380572,68.0
806,Fury,2014,7.6,64,374610,76.0
807,The Hunger Games: Mockingjay - Part 1,2014,6.7,64,371840,67.0
808,Big Hero 6,2014,7.8,74,360441,78.0
809,The Theory of Everything,2014,7.7,72,352366,77.0
810,Godzilla,2014,6.4,62,342003,64.0
811,22 Jump Street,2014,7.0,71,313884,70.0
812,Boyhood,2014,7.9,100,312102,79.0
813,The Fault in Our Stars,2014,7.7,69,309125,77.0
814,Maleficent,2014,7.0,56,299648,70.0
815,The Lego Movie,2014,7.8,83,296822,78.0
816,The Equalizer,2014,7.2,57,295099,72.0
817,The Interview,2014,6.5,52,283203,65.0
818,Transformers: Age of Extinction,2014,5.7,32,279891,57.0
819,How to Train Your Dragon 2,2014,7.8,76,267510,78.0
820,Neighbors,2014,6.3,68,261764,63.0
821,300: Rise of an Empire,2014,6.2,48,259100,62.0
822,Non-Stop,2014,7.0,56,231725,70.0
823,Noah,2014,5.8,68,226480,58.0
824,Predestination,2014,7.5,69,220872,75.0
825,RoboCop,2014,6.2,52,203483,62.0
826,Transcendence,2014,6.3,42,202075,63.0
827,Teenage Mutant Ninja Turtles,2014,5.8,31,190561,58.0
828,It Follows,2014,6.8,83,177686,68.0
829,Chef,2014,7.3,68,170468,73.0
830,Interstellar,2014,8.6,74,1260178,86.0
831,Guardians of the Galaxy,2014,8.1,76,909491,81.0
832,Gone Girl,2014,8.1,79,744839,81.0
833,Captain America: The Winter Soldier,2014,7.8,70,637435,78.0
834,The Grand Budapest Hotel,2014,8.1,88,620793,81.0
835,X-Men: Days of Future Past,2014,8.0,75,607538,80.0
836,The Imitation Game,2014,8.0,73,606173,80.0
837,Whiplash,2014,8.5,88,596604,85.0
838,Edge of Tomorrow,2014,7.9,71,536230,79.0
